#ID	RA(ICRS)	DEC(ICRS)	spec_z	model_z	photz_50	photz_16	photz_84
20.2a	104.569045	-55.94595957	-	1.6943	1.637	1.55907	1.6635
20.2b	104.5702488	-55.94399054	-	1.6943	1.60203	1.55907	1.65552
20.2c	104.569784	-55.93870561	-	1.6943	1.65287	1.02717	2.37246
21a	104.5654851	-55.94651166	-	3.2837	1.3225	1.0292	1.54376
21b	104.5644365	-55.94408556	-	3.2837	1.26674	1.07849	1.47105
21c	104.5676347	-55.93739276	-	3.2837	1.26674	1.02515	1.53614
22a	104.5639396	-55.9453403	-	1.9598	1.71459	1.12685	2.37583
22b	104.5637085	-55.94483968	-	1.9598	1.75011	1.12685	2.42343
22c	104.5662612	-55.93814235	-	1.9598	1.66457	1.07849	2.37246
23a	104.5646583	-55.94854617	-	5.0163	3.52059	2.69006	11.99601
23b	104.564106	-55.94191764	-	5.0163	3.58029	2.69006	11.99601
23c	104.5656922	-55.93979285	-	5.0163	3.56146	2.69006	11.99601
24.1a	104.561847	-55.94756564	2.99	-	3.09118	2.69006	7.54753
24.1b	104.5612288	-55.94258473	2.99	-	3.19118	2.69006	3.48905
24.1c	104.5630797	-55.93949759	2.99	-	3.13978	2.69006	7.54753
24.2a	104.5618776	-55.94767198	2.99	-	3.0054	2.69006	3.04565
24.2b	104.5613311	-55.94237325	2.99	-	3.0054	2.69006	3.0497
24.2c	104.5629372	-55.93971939	2.99	-	3.0054	2.69006	3.03353
25a	104.5618017	-55.94605987	-	3.2083	2.679	1.64228	3.46667
25b	104.5614284	-55.94421058	-	3.2083	2.68053	2.32557	3.46667
25c	104.5646958	-55.93807548	-	3.2083	2.58053	1.69566	3.46667
26a	104.5605542	-55.94686324	-	2.3422	2.44748	1.70376	2.68637
26b	104.5603816	-55.94285606	-	2.3422	2.46129	1.63437	2.68637
26c	104.5620223	-55.93959085	-	2.3422	2.48574	1.64228	7.51341
27a	104.5612936	-55.94689039	-	1.9007	1.88823	1.12685	2.68637
27c	104.5624031	-55.94000174	-	1.9007	1.97461	1.33881	3.46667
28.1a	104.6322107	-55.94190821	3.24	-	3.7145	3.50705	4.49942
28.1b	104.6316856	-55.94218087	3.24	-	-	-	-
28.2a	104.6331888	-55.94150479	3.24	-	3.61465	3.50705	3.76188
28.2b	104.630778	-55.9429803	3.24	-	-	-	-
28.3a	104.6331606	-55.94134223	3.24	-	3.61652	3.50705	3.74761
28.3b	104.6298641	-55.94376103	3.24	-	-	-	-
29a	104.6375026	-55.94157906	3.537	-	4.15	3.85322	4.49942
29b	104.6353332	-55.94274368	3.537	-	4.23121	4.11226	5.0354
29c	104.6324919	-55.94535027	3.537	-	4.25	3.90199	4.85703
31a	104.568521	-55.94819645	-	4.8395	4.01623	3.76188	4.83948
31b	104.5718031	-55.94265301	-	4.8395	4.01623	3.50705	4.83948
31c	104.5710043	-55.93814322	-	4.8395	4.06646	3.83868	4.49942
32a	104.6411124	-55.94742722	-	7.459	4.06745	2.69006	11.99601
32b	104.636914	-55.95062129	-	7.459	3.96745	3.0497	6.70325
33.1a	104.639692	-55.94725649	-	1.3498	1.31554	1.07227	2.32557
33.1b	104.6394449	-55.94744924	-	1.3498	1.37304	1.29021	2.38598
33.2a	104.6398926	-55.94708326	-	1.3498	1.79079	1.47352	2.01814
33.2b	104.639285	-55.94750597	-	1.3498	1.88823	1.69566	2.37583
33.3a	104.6400385	-55.94691895	-	1.3498	8.35249	3.50705	11.99601
33.3b	104.6389737	-55.94759274	-	1.3498	8.44648	5.72372	11.99601
35a	104.662876	-55.95683437	-	1.2534	3.70978	3.50705	3.74761
35b	104.6624682	-55.95724184	-	1.2534	3.65225	3.50705	3.78096
36a	104.6598532	-55.95180801	-	2.5891	-	-	-
36b	104.655412	-55.9532288	-	2.5891	-	-	-
36c	104.6407912	-55.95916107	-	2.5891	-	-	-
37a	104.6612213	-55.95221855	-	2.6948	-	-	-
37b	104.655346	-55.95404774	-	2.6948	-	-	-
37c	104.6418311	-55.95966145	-	2.6948	-	-	-
40a	104.6450091	-55.9446836	-	5.1808	-	-	-
40b	104.6423953	-55.94585591	-	5.1808	-	-	-
41a	104.5650237	-55.94778984	-	2.4475	-	-	-
41b	104.567245	-55.93882663	-	2.4475	2.59721	2.44748	2.68637
